sequence_id	protein_id	start	end	strand	average_p	max_p
BA000007.3	BA000007.3_148	169053	171587	+	0.000014829387839008555	0.000014829387839008555
BA000007.3	BA000007.3_149	171807	174050	+	0.014108280588341626	0.014108280588341626
BA000007.3	BA000007.3_150	174101	174898	+	0.02181712369939306	0.02181712369939306
BA000007.3	BA000007.3_151	174898	175788	+	0.021376054122222935	0.021376054122222935
BA000007.3	BA000007.3_152	175785	177767	+	0.031332152159808016	0.031332152159808016
BA000007.3	BA000007.3_153	177802	179082	-	0.042312884350885496	0.042312884350885496
BA000007.3	BA000007.3_154	179307	180728	+	0.00008304179079542968	0.00008304179079542968
BA000007.3	BA000007.3_155	180810	181154	+	0.000014003552429138214	0.000014003552429138214
BA000007.3	BA000007.3_156	181201	181824	-	0.000010817201068751118	0.000010817201068751118
BA000007.3	BA000007.3_157	181862	182662	-	0.007632699273881324	0.007632699273881324
BA000007.3	BA000007.3_158	182655	183353	-	0.00410257863854898	0.00410257863854898
BA000007.3	BA000007.3_159	183437	184954	+	0.0030477435129826628	0.0030477435129826628
BA000007.3	BA000007.3_160	185084	186508	+	4.185450976065092e-8	4.185450976065092e-8
BA000007.3	BA000007.3_161	186663	187820	+	0.011451830793231938	0.011451830793231938
BA000007.3	BA000007.3_162	187909	188295	-	0.00970044503091255	0.00970044503091255
BA000007.3	BA000007.3_163	188610	189434	-	0.006015378690952312	0.006015378690952312
BA000007.3	BA000007.3_164	189465	192137	-	9.336892904180756e-7	9.336892904180756e-7
BA000007.3	BA000007.3_165	192199	192993	-	0.00322717421094762	0.00322717421094762
BA000007.3	BA000007.3_166	193361	194086	+	0.00006617127352251318	0.00006617127352251318
BA000007.3	BA000007.3_167	194344	195195	+	0.00003545543069524505	0.00003545543069524505
BA000007.3	BA000007.3_168	195342	196067	+	0.004042087946337339	0.004042087946337339
BA000007.3	BA000007.3_169	196217	196774	+	0.00003259155105842016	0.00003259155105842016
BA000007.3	BA000007.3_170	196866	198062	+	0.008978423847733055	0.008978423847733055
BA000007.3	BA000007.3_171	198251	199009	+	0.008208623744521876	0.008208623744521876
BA000007.3	BA000007.3_172	199130	199879	+	0.00004823755361516564	0.00004823755361516564
BA000007.3	BA000007.3_173	199891	201243	+	7.969863738907218e-8	7.969863738907218e-8
BA000007.3	BA000007.3_174	201273	203705	+	8.422576901905258e-6	8.422576901905258e-6
BA000007.3	BA000007.3_175	203826	204311	+	0.00017235295878615035	0.00017235295878615035
BA000007.3	BA000007.3_176	204315	205340	+	0.00004766739081324432	0.00004766739081324432
BA000007.3	BA000007.3_177	205445	205900	+	0.0024007756881754567	0.0024007756881754567
BA000007.3	BA000007.3_178	205904	206692	+	0.00010456839496485719	0.00010456839496485719
BA000007.3	BA000007.3_179	206692	207840	+	0.000033349653443475506	0.000033349653443475506
BA000007.3	BA000007.3_180	207837	208433	+	0.00143292893787439	0.00143292893787439
BA000007.3	BA000007.3_181	208470	211952	+	0.0002696905980737387	0.0002696905980737387
BA000007.3	BA000007.3_182	211965	212924	+	0.0035932790877982487	0.0035932790877982487
BA000007.3	BA000007.3_183	213023	215164	+	0.00040650207906771217	0.00040650207906771217
BA000007.3	BA000007.3_184	215221	215610	+	0.0036088313811810002	0.0036088313811810002
BA000007.3	BA000007.3_185	215675	216970	+	9.458427133221645e-6	9.458427133221645e-6
BA000007.3	BA000007.3_186	217023	217283	-	0.014384464847410003	0.014384464847410003
BA000007.3	BA000007.3_187	217270	217470	-	0.010363773216542013	0.010363773216542013
BA000007.3	BA000007.3_188	217636	218094	+	0.013805024659912655	0.013805024659912655
BA000007.3	BA000007.3_189	218178	218588	+	0.0009155175019348766	0.0009155175019348766
BA000007.3	BA000007.3_190	218602	219312	+	0.012587573883769732	0.012587573883769732
BA000007.3	BA000007.3_191	219512	220336	-	0.010433257011950876	0.010433257011950876
BA000007.3	BA000007.3_192	220389	222107	-	0.0036330789719851587	0.0036330789719851587
BA000007.3	BA000007.3_193	222218	222925	-	0.012057208887245426	0.012057208887245426
BA000007.3	BA000007.3_194	222922	223326	-	0.012342706799591551	0.012342706799591551
BA000007.3	BA000007.3_195	223444	224259	-	0.006420906755761592	0.006420906755761592
BA000007.3	BA000007.3_196	224299	224952	-	0.005579795449191752	0.005579795449191752
BA000007.3	BA000007.3_197	224945	225976	-	0.00018063621086556033	0.00018063621086556033
BA000007.3	BA000007.3_198	226164	226739	+	0.017576237384140915	0.017576237384140915
BA000007.3	BA000007.3_199	228290	228544	+	0.0134496524328717	0.0134496524328717
BA000007.3	BA000007.3_200	232497	233300	+	0.012335738359734413	0.012335738359734413
BA000007.3	BA000007.3_201	233297	234211	-	0.009225224813392148	0.009225224813392148
BA000007.3	BA000007.3_202	234473	235252	+	0.009865997919998126	0.009865997919998126
BA000007.3	BA000007.3_203	235330	236100	+	0.018379479979734614	0.018379479979734614
BA000007.3	BA000007.3_204	236148	237368	-	0.00003973568741064427	0.00003973568741064427
BA000007.3	BA000007.3_205	237578	238333	-	0.005772598692924198	0.005772598692924198
BA000007.3	BA000007.3_206	238367	239089	+	0.013656939970986036	0.013656939970986036
BA000007.3	BA000007.3_207	239086	239553	-	0.013519554855074487	0.013519554855074487
BA000007.3	BA000007.3_208	239609	240349	+	6.576566749230404e-7	6.576566749230404e-7
BA000007.3	BA000007.3_209	240887	241687	+	0.03663454220303433	0.03663454220303433
BA000007.3	BA000007.3_210	241872	242168	-	0.03513278954118777	0.03513278954118777
BA000007.3	BA000007.3_211	242165	242614	-	0.03346440707213574	0.03346440707213574
BA000007.3	BA000007.3_212	242617	243213	-	0.03161026730679327	0.03161026730679327
BA000007.3	BA000007.3_213	243292	243513	-	0.029498982724831715	0.029498982724831715
BA000007.3	BA000007.3_214	243534	244013	-	0.027205881308753517	0.027205881308753517
BA000007.3	BA000007.3_215	243979	245388	-	0.026389609041502095	0.026389609041502095
BA000007.3	BA000007.3_216	245399	248833	-	0.028776702939435843	0.028776702939435843
BA000007.3	BA000007.3_217	248970	249764	-	0.030922521726355484	0.030922521726355484
BA000007.3	BA000007.3_218	249761	250381	-	0.032852294413216965	0.032852294413216965
BA000007.3	BA000007.3_219	250386	251129	-	0.034588455171704745	0.034588455171704745
BA000007.3	BA000007.3_220	251126	253897	-	0.009390860451430285	0.009390860451430285
BA000007.3	BA000007.3_221	253906	254667	-	0.02369462744252029	0.02369462744252029
BA000007.3	BA000007.3_222	254672	256003	-	0.02074454581555401	0.02074454581555401
BA000007.3	BA000007.3_223	256006	256530	-	0.02055114843059276	0.02055114843059276
BA000007.3	BA000007.3_224	256527	257807	-	0.023532632406170744	0.023532632406170744
BA000007.3	BA000007.3_225	257832	258914	-	0.026210025300576197	0.026210025300576197
BA000007.3	BA000007.3_226	258878	260728	-	0.028615245479471	0.028615245479471
BA000007.3	BA000007.3_227	260732	261145	-	0.00009433375929700451	0.00009433375929700451
BA000007.3	BA000007.3_228	261236	262627	-	0.017438616090000563	0.017438616090000563
BA000007.3	BA000007.3_229	262678	262902	-	0.013771408625693456	0.013771408625693456
BA000007.3	BA000007.3_230	262937	263437	-	0.01388573721959513	0.01388573721959513
BA000007.3	BA000007.3_231	264134	264652	+	0.017557487208456568	0.017557487208456568
BA000007.3	BA000007.3_232	264862	267003	+	1.914921954648812e-6	1.914921954648812e-6
BA000007.3	BA000007.3_233	267079	271293	+	0.01708098819991311	0.01708098819991311
BA000007.3	BA000007.3_234	271362	271907	+	0.02723506038813179	0.02723506038813179
BA000007.3	BA000007.3_235	272653	273789	+	0.024616212940714963	0.024616212940714963
