sequence_id	protein_id	start	end	strand	domain	hmm	i_evalue	pvalue	domain_start	domain_end	cluster_probability
AB011549.2	AB011549.2_32	30736	31623	-	PF13683	Pfam	1.9317869042685303e-12	6.984045207044579e-16	217	277	0.03376682164656105
AB011549.2	AB011549.2_32	30736	31623	-	PF13333	Pfam	2.598619297479612e-7	9.394863692984857e-11	230	276	0.03376682164656105
AB011549.2	AB011549.2_34	32837	34003	+	PF13614	Pfam	1.6583921072557059e-28	5.995633070338778e-32	108	286	0.13463047586324767
AB011549.2	AB011549.2_34	32837	34003	+	PF01656	Pfam	4.255026949315705e-18	1.538332230410595e-21	110	341	0.13463047586324767
AB011549.2	AB011549.2_35	34003	34974	+	PF02195	Pfam	2.7751150413189624e-12	1.0032953873170507e-15	78	153	0.33697715058851796
AB011549.2	AB011549.2_35	34003	34974	+	PF18090	Pfam	5.779156157670226e-43	2.089355082310277e-46	158	232	0.33697715058851796
AB011549.2	AB011549.2_37	36274	37998	+	PF00078	Pfam	7.475064349868382e-49	2.702481688311056e-52	115	332	0.1538712517429844
AB011549.2	AB011549.2_37	36274	37998	+	PF01844	Pfam	8.790739592313944e-10	3.17814157350468e-13	512	557	0.1538712517429844
AB011549.2	AB011549.2_39	39363	40046	+	PF01555	Pfam	9.05019875359554e-33	3.271944596383058e-36	21	200	0.10077455586882529
AB011549.2	AB011549.2_49	45724	46287	+	PF05175	Pfam	1.2292448212029588e-7	4.4441244439730976e-11	50	149	0.062231923182207896
AB011549.2	AB011549.2_51	47130	47582	+	PF00436	Pfam	4.896103831686431e-39	1.7701026144925636e-42	6	110	0.05870350739051168
AB011549.2	AB011549.2_53	47938	49896	+	PF02195	Pfam	7.308841268734304e-16	2.642386575825851e-19	38	131	0.07425519246945317
AB011549.2	AB011549.2_60	55326	55712	+	PF01695	Pfam	5.9471410331209525e-8	2.150087141403092e-11	94	125	0.020967100995781487
AB011549.2	AB011549.2_61	55981	65490	+	PF04488	Pfam	1.708941487833593e-11	6.178385711618196e-15	456	518	0.006598279923341328
AB011549.2	AB011549.2_63	65781	66284	-	PF01695	Pfam	2.3234033814385125e-25	8.399867611852901e-29	81	144	0.006056774354322788
AB011549.2	AB011549.2_66	68554	69414	+	PF00561	Pfam	2.29316523535567e-24	8.290546765566412e-28	26	268	0.008728645278504366
AB011549.2	AB011549.2_66	68554	69414	+	PF12146	Pfam	1.676340416960335e-21	6.06052211482406e-25	27	262	0.008728645278504366
AB011549.2	AB011549.2_66	68554	69414	+	PF12697	Pfam	3.144042671280531e-7	1.1366748630804522e-10	28	244	0.008728645278504366
AB011549.2	AB011549.2_66	68554	69414	+	PF02129	Pfam	5.071005317512092e-15	1.833335255788898e-18	48	247	0.008728645278504366
AB011549.2	AB011549.2_66	68554	69414	+	PF00326	Pfam	2.0023871922202663e-9	7.2392884751275e-13	49	135	0.008728645278504366
AB011549.2	AB011549.2_69	70667	71128	+	PF00565	Pfam	2.6458173340958306e-29	9.565500123267646e-33	44	140	0.000019833158782412248
AB011549.2	AB011549.2_74	74331	74609	+	PF01402	Pfam	2.3844584287910773e-11	8.620601694833975e-15	12	49	0.00026240979151245775
AB011549.2	AB011549.2_75	74609	74884	+	PF05016	Pfam	2.8731305240102456e-17	1.03873120896972e-20	3	90	6.723705029577038e-6
AB011549.2	AB011549.2_77	75544	76278	-	PF00665	Pfam	4.811426849017366e-20	1.7394890994278257e-23	79	177	0.00307095870371854
AB011549.2	AB011549.2_77	75544	76278	-	PF13683	Pfam	1.8009040037196218e-15	6.510860461748452e-19	166	232	0.00307095870371854
AB011549.2	AB011549.2_77	75544	76278	-	PF13333	Pfam	1.4066458322746489e-12	5.085487463031992e-16	184	238	0.00307095870371854
AB011549.2	AB011549.2_78	76888	79098	+	PF00141	Pfam	1.0083387493574331e-49	3.645476317271993e-53	81	393	0.00009635905447461304
AB011549.2	AB011549.2_78	76888	79098	+	PF00141	Pfam	6.176215003637974e-37	2.2329049181626803e-40	400	708	0.00009635905447461304
AB011549.2	AB011549.2_80	79689	80576	+	PF13276	Pfam	5.1322749217976315e-18	1.85548623347709e-21	47	103	0.007867396358503687
AB011549.2	AB011549.2_80	79689	80576	+	PF00665	Pfam	4.2225320485281944e-21	1.526584254710121e-24	126	221	0.007867396358503687
AB011549.2	AB011549.2_80	79689	80576	+	PF13683	Pfam	1.6081944431652455e-12	5.814151999874351e-16	218	277	0.007867396358503687
AB011549.2	AB011549.2_80	79689	80576	+	PF13333	Pfam	5.354006702457754e-7	1.9356495670490793e-10	230	278	0.007867396358503687
AB011549.2	AB011549.2_81	80757	84659	+	PF03797	Pfam	9.151247301530026e-36	3.308476970907457e-39	1041	1278	0.024550840721790725
AB011549.2	AB011549.2_82	85124	85396	-	PF12759	Pfam	3.6845754067886323e-28	1.3320952302200407e-31	42	87	0.06071243698425049
AB011549.2	AB011549.2_83	86838	87659	+	PF01522	Pfam	2.4605867404974717e-34	8.895830587481822e-38	56	214	0.0220963704889994
AB011549.2	AB011549.2_85	88855	90576	+	PF00884	Pfam	2.4274139080364504e-43	8.775899884441252e-47	238	529	0.00385716194932718
BA000007.3	BA000007.3_2	354	2816	+	PF00696	Pfam	1.0436597534740867e-46	3.773173367585274e-50	2	284	0.000010714316341984391
BA000007.3	BA000007.3_2	354	2816	+	PF01842	Pfam	1.117034208148783e-8	4.038446161058507e-12	324	376	0.000010714316341984391
BA000007.3	BA000007.3_2	354	2816	+	PF01842	Pfam	2.288316548199587e-7	8.273017166303641e-11	404	447	0.000010714316341984391
BA000007.3	BA000007.3_2	354	2816	+	PF03447	Pfam	3.610231323745668e-33	1.3052173983173058e-36	472	605	0.000010714316341984391
BA000007.3	BA000007.3_2	354	2816	+	PF00742	Pfam	3.6969729719291784e-49	1.3365773578919661e-52	614	811	0.000010714316341984391
BA000007.3	BA000007.3_3	2818	3750	+	PF00288	Pfam	1.2646391185759511e-14	4.5720864735211536e-18	85	150	0.002551295580549288
BA000007.3	BA000007.3_4	3751	5037	+	PF14821	Pfam	2.540486167724129e-14	9.184693303413337e-18	8	80	0.0003012662336538138
BA000007.3	BA000007.3_4	3751	5037	+	PF00291	Pfam	6.9049184299453605e-25	2.4963551807466957e-28	99	369	0.0003012662336538138
BA000007.3	BA000007.3_6	5700	6476	-	PF03883	Pfam	1.9527114258051232e-92	7.059694236461038e-96	1	243	0.000019932449599140674
BA000007.3	BA000007.3_7	6546	7976	-	PF01235	Pfam	2.0381566691731047e-143	7.368606902288882e-147	52	453	0.0007996204019372876
BA000007.3	BA000007.3_8	8255	9208	+	PF00923	Pfam	2.324099721338582e-104	8.402385109683955e-108	14	313	0.0034761047516648994
BA000007.3	BA000007.3_9	9323	9910	+	PF00994	Pfam	1.7431559785547966e-28	6.302082351969619e-32	8	147	0.0023827045992835067
BA000007.3	BA000007.3_13	12180	14096	+	PF00012	Pfam	4.6505712957469054e-272	1.681334524854268e-275	4	602	0.002223302385436463
BA000007.3	BA000007.3_13	12180	14096	+	PF06723	Pfam	2.1116489951740835e-13	7.634305839385696e-17	116	376	0.002223302385436463
BA000007.3	BA000007.3_14	14185	15315	+	PF00226	Pfam	1.3052337214386436e-29	4.718849318288661e-33	5	67	0.000028338483522364443
BA000007.3	BA000007.3_14	14185	15315	+	PF01556	Pfam	2.5213749257616078e-49	9.115599876216948e-53	117	330	0.000028338483522364443
BA000007.3	BA000007.3_14	14185	15315	+	PF00684	Pfam	5.156629661171244e-18	1.8642912730192496e-21	144	204	0.000028338483522364443
BA000007.3	BA000007.3_17	17389	18288	+	PF00126	Pfam	1.6506321777906297e-16	5.96757837234501e-20	7	65	0.015097842128873445
BA000007.3	BA000007.3_17	17389	18288	+	PF03466	Pfam	1.2844627921204306e-10	4.643755575272706e-14	97	284	0.015097842128873445
BA000007.3	BA000007.3_24	25221	25484	-	PF01649	Pfam	1.736686189361479e-28	6.278691935507878e-32	2	84	0.00007608104676280404
BA000007.3	BA000007.3_25	25819	26760	+	PF06574	Pfam	6.171815111659394e-59	2.2313142124582047e-62	13	168	0.00005751815542351011
BA000007.3	BA000007.3_25	25819	26760	+	PF01687	Pfam	6.177164930663038e-39	2.2332483480343595e-42	185	306	0.00005751815542351011
BA000007.3	BA000007.3_26	26803	29619	+	PF00133	Pfam	1.759225572608168e-238	6.360179221287665e-242	28	640	1.4077288019116938e-7
BA000007.3	BA000007.3_26	26803	29619	+	PF09334	Pfam	2.4060048840043304e-11	8.698499219104593e-15	58	120	1.4077288019116938e-7
BA000007.3	BA000007.3_26	26803	29619	+	PF13603	Pfam	1.6434512130213475e-6	5.941616822202992e-10	225	359	1.4077288019116938e-7
BA000007.3	BA000007.3_26	26803	29619	+	PF01406	Pfam	4.744038359371478e-7	1.7151259433736362e-10	574	648	1.4077288019116938e-7
BA000007.3	BA000007.3_26	26803	29619	+	PF08264	Pfam	6.620542216196282e-28	2.3935438236429075e-31	685	840	1.4077288019116938e-7
BA000007.3	BA000007.3_26	26803	29619	+	PF06827	Pfam	8.402506551569863e-11	3.0377825566051566e-14	898	926	1.4077288019116938e-7
BA000007.3	BA000007.3_27	29619	30113	+	PF01252	Pfam	4.218305144433414e-39	1.5250560898168524e-42	16	154	0.011705200631678698
BA000007.3	BA000007.3_28	30201	30650	+	PF00254	Pfam	2.6306950612183864e-16	9.510828131664448e-20	5	141	0.019509033487340316
BA000007.3	BA000007.3_30	31668	32582	+	PF01156	Pfam	1.3206053598675522e-80	4.774422848400406e-84	5	293	0.0034802627946932097
BA000007.3	BA000007.3_31	32749	33570	+	PF01113	Pfam	8.77704241555359e-42	3.173189593475629e-45	6	129	0.0016123307650342364
BA000007.3	BA000007.3_31	32749	33570	+	PF05173	Pfam	1.0687218157208764e-43	3.8637809678990465e-47	132	268	0.0016123307650342364
BA000007.3	BA000007.3_32	34026	35174	+	PF00988	Pfam	3.9933209907028436e-52	1.4437169163784685e-55	7	132	0.0017221855015723455
BA000007.3	BA000007.3_33	35192	38413	+	PF02787	Pfam	3.0394712590440886e-25	1.0988688572104441e-28	427	505	0.006231653897045812
BA000007.3	BA000007.3_33	35192	38413	+	PF02142	Pfam	4.820518249902741e-19	1.742775939950376e-22	957	1041	0.006231653897045812
BA000007.3	BA000007.3_36	39188	39778	-	PF00132	Pfam	1.9372196297042433e-8	7.003686296833851e-12	88	122	0.009367935571658865
BA000007.3	BA000007.3_37	39784	40569	-	PF00378	Pfam	3.054293260419932e-87	1.1042274983441548e-90	9	260	0.016241178161933177
BA000007.3	BA000007.3_37	39784	40569	-	PF16113	Pfam	1.985406108619261e-33	7.177896271219309e-37	15	218	0.016241178161933177
BA000007.3	BA000007.3_38	40678	42231	-	PF00501	Pfam	6.699961949943268e-91	2.422256670261485e-94	17	426	0.022329299862283797
BA000007.3	BA000007.3_38	40678	42231	-	PF13193	Pfam	5.353817364476534e-16	1.9355811151397447e-19	435	510	0.022329299862283797
BA000007.3	BA000007.3_39	42305	43522	-	PF02515	Pfam	7.363877591627254e-79	2.662284017218819e-82	12	378	0.014829980466066428
BA000007.3	BA000007.3_40	43651	44793	-	PF02771	Pfam	3.5096559567464523e-15	1.268856094268421e-18	6	108	0.016286508647054034
BA000007.3	BA000007.3_40	43651	44793	-	PF02770	Pfam	1.0674744660395296e-22	3.8592713884292467e-26	123	215	0.016286508647054034
BA000007.3	BA000007.3_40	43651	44793	-	PF00441	Pfam	8.489579986657456e-47	3.069262468061264e-50	227	376	0.016286508647054034
BA000007.3	BA000007.3_40	43651	44793	-	PF08028	Pfam	3.2061370581982667e-16	1.1591240268251145e-19	244	356	0.016286508647054034
BA000007.3	BA000007.3_41	44824	46338	-	PF02028	Pfam	1.5392239423436068e-114	5.564800948458448e-118	14	500	0.01060595648311142
BA000007.3	BA000007.3_42	46817	47587	+	PF01012	Pfam	7.7776196004674e-40	2.8118653653172093e-43	28	210	0.018215322202759527
BA000007.3	BA000007.3_43	47602	48543	+	PF01012	Pfam	2.578029000952353e-15	9.320422996935477e-19	25	169	0.005676577881936306
BA000007.3	BA000007.3_43	47602	48543	+	PF00766	Pfam	7.108827482249928e-30	2.57007501165941e-33	191	271	0.005676577881936306
BA000007.3	BA000007.3_44	48594	49880	+	PF00890	Pfam	8.520834347123584e-7	3.080561947622409e-10	7	41	0.005459275099468793
BA000007.3	BA000007.3_44	48594	49880	+	PF01266	Pfam	2.133069162817013e-8	7.711746792541623e-12	7	56	0.005459275099468793
BA000007.3	BA000007.3_44	48594	49880	+	PF12831	Pfam	2.4328803288586354e-10	8.795662794138233e-14	7	157	0.005459275099468793
BA000007.3	BA000007.3_44	48594	49880	+	PF01134	Pfam	1.2743867642858278e-8	4.607327419688459e-12	7	162	0.005459275099468793
BA000007.3	BA000007.3_44	48594	49880	+	PF03486	Pfam	2.1895963301484636e-9	7.91611109959676e-13	7	165	0.005459275099468793
BA000007.3	BA000007.3_44	48594	49880	+	PF01494	Pfam	7.249185516831734e-13	2.6208190588690287e-16	7	188	0.005459275099468793
BA000007.3	BA000007.3_44	48594	49880	+	PF13450	Pfam	1.863357405058629e-8	6.736650054441898e-12	10	43	0.005459275099468793
BA000007.3	BA000007.3_44	48594	49880	+	PF01266	Pfam	3.898955192365568e-10	1.409600575692541e-13	109	329	0.005459275099468793
BA000007.3	BA000007.3_46	50222	51553	+	PF07690	Pfam	2.0204281761196443e-34	7.30451256731614e-38	29	386	0.022065527803735278
BA000007.3	BA000007.3_46	50222	51553	+	PF00083	Pfam	7.174288294214662e-53	2.593741248812242e-56	54	433	0.022065527803735278
BA000007.3	BA000007.3_47	51661	52191	+	PF02525	Pfam	2.361731961198353e-41	8.538438037593468e-45	2	167	0.025581461836993797
BA000007.3	BA000007.3_47	51661	52191	+	PF03358	Pfam	2.326309960409157e-8	8.41037585108155e-12	45	123	0.025581461836993797
BA000007.3	BA000007.3_48	52184	54046	+	PF00999	Pfam	2.746590933578895e-62	9.92982983940309e-66	11	374	0.023165567629712544
BA000007.3	BA000007.3_48	52184	54046	+	PF02254	Pfam	1.0754313839482894e-26	3.8880382644551314e-30	402	512	0.023165567629712544
BA000007.3	BA000007.3_49	54127	54717	+	PF00186	Pfam	2.888736302510271e-57	1.044373211319693e-60	38	195	0.00014292838488284381
BA000007.3	BA000007.3_52	55350	56198	-	PF00149	Pfam	1.8664573060627725e-14	6.7478572164236176e-18	4	127	0.014314129686136491
BA000007.3	BA000007.3_55	57403	58392	-	PF04166	Pfam	1.5632890999665655e-109	5.651804410580497e-113	34	321	0.00005211297344252046
BA000007.3	BA000007.3_56	58392	59678	-	PF13624	Pfam	3.953500399176112e-14	1.4293204624642487e-17	24	141	4.827568739634266e-9
BA000007.3	BA000007.3_56	58392	59678	-	PF09312	Pfam	3.142132624749262e-47	1.1359843184198345e-50	25	142	4.827568739634266e-9
BA000007.3	BA000007.3_56	58392	59678	-	PF13623	Pfam	2.4940043873393144e-7	9.016646375051752e-11	26	110	4.827568739634266e-9
BA000007.3	BA000007.3_56	58392	59678	-	PF13616	Pfam	8.214898308115506e-19	2.969956004380154e-22	166	272	4.827568739634266e-9
BA000007.3	BA000007.3_56	58392	59678	-	PF00639	Pfam	8.397100026747361e-22	3.035827920009892e-25	178	272	4.827568739634266e-9
BA000007.3	BA000007.3_56	58392	59678	-	PF13145	Pfam	3.4160989315350115e-7	1.235032151675709e-10	199	275	4.827568739634266e-9
BA000007.3	BA000007.3_56	58392	59678	-	PF13616	Pfam	2.0348201835832674e-27	7.356544409194749e-31	281	383	4.827568739634266e-9
BA000007.3	BA000007.3_56	58392	59678	-	PF00639	Pfam	1.092938710178865e-25	3.95133300860038e-29	289	380	4.827568739634266e-9
BA000007.3	BA000007.3_56	58392	59678	-	PF13145	Pfam	8.426549704127095e-7	3.046474947262146e-10	301	385	4.827568739634266e-9
BA000007.3	BA000007.3_57	59731	62085	-	PF03968	Pfam	5.944443539953416e-29	2.1491119088768677e-32	53	194	3.013234449062861e-6
BA000007.3	BA000007.3_57	59731	62085	-	PF04453	Pfam	2.1495718526067285e-113	7.771409445432858e-117	309	697	3.013234449062861e-6
BA000007.3	BA000007.3_58	62340	63155	+	PF05099	Pfam	8.694224667637762e-9	3.1432482529420683e-12	62	170	5.165891271927021e-7
BA000007.3	BA000007.3_58	62340	63155	+	PF00226	Pfam	1.2099398924159274e-11	4.3743307751841194e-15	208	267	5.165891271927021e-7
BA000007.3	BA000007.3_60	64620	65279	-	PF00849	Pfam	1.6266986712904056e-29	5.881050872344199e-33	22	169	0.000010642929478167866
BA000007.3	BA000007.3_61	65291	68197	-	PF04851	Pfam	1.607473590592253e-10	5.811545880666135e-14	168	317	0.0003848273025560119
BA000007.3	BA000007.3_61	65291	68197	-	PF00176	Pfam	2.2404859095468307e-19	8.100093671535903e-23	172	441	0.0003848273025560119
BA000007.3	BA000007.3_61	65291	68197	-	PF00271	Pfam	4.475835361207068e-17	1.6181617357943124e-20	495	601	0.0003848273025560119
BA000007.3	BA000007.3_65	73195	74895	-	PF00370	Pfam	1.2804437925152303e-6	4.629225569469379e-10	4	190	0.002524798815271115
BA000007.3	BA000007.3_65	73195	74895	-	PF02782	Pfam	1.4887392688870307e-39	5.382282244710884e-43	291	501	0.002524798815271115
BA000007.3	BA000007.3_66	75234	76112	+	PF02311	Pfam	1.3982471850955899e-27	5.055123590367281e-31	23	160	0.004083444473997858
BA000007.3	BA000007.3_66	75234	76112	+	PF00165	Pfam	3.2217453499873635e-10	1.1647669378117728e-13	187	227	0.004083444473997858
BA000007.3	BA000007.3_66	75234	76112	+	PF12833	Pfam	7.975046497429845e-21	2.883241683814116e-24	201	278	0.004083444473997858
BA000007.3	BA000007.3_66	75234	76112	+	PF00165	Pfam	1.960213332754826e-9	7.08681609817363e-13	240	277	0.004083444473997858
BA000007.3	BA000007.3_67	76198	76962	+	PF09335	Pfam	4.4046737140848895e-20	1.5924344591774728e-23	36	159	0.006666564696407335
BA000007.3	BA000007.3_68	77049	77747	-	PF00005	Pfam	1.4647592608671702e-37	5.295586626417824e-41	18	157	0.00403744362211542
BA000007.3	BA000007.3_68	77049	77747	-	PF02463	Pfam	1.0073612912223277e-6	3.6419424845348076e-10	27	190	0.00403744362211542
BA000007.3	BA000007.3_69	77731	79341	-	PF00528	Pfam	8.357812589124922e-12	3.021624218772568e-15	74	267	0.006571372685579024
BA000007.3	BA000007.3_69	77731	79341	-	PF00528	Pfam	2.0029166705794247e-8	7.241202713591557e-12	376	524	0.006571372685579024
BA000007.3	BA000007.3_70	79317	80300	-	PF01547	Pfam	3.772779287908028e-17	1.363983835107747e-20	40	272	0.008576772240301778
BA000007.3	BA000007.3_70	79317	80300	-	PF13531	Pfam	2.4228828353662024e-14	8.759518566038332e-18	67	274	0.008576772240301778
BA000007.3	BA000007.3_70	79317	80300	-	PF13343	Pfam	5.923302527383027e-17	2.141468737304059e-20	73	288	0.008576772240301778
BA000007.3	BA000007.3_73	81470	83128	-	PF00496	Pfam	2.905199126978626e-20	1.0503250639835958e-23	164	306	0.00766008582438621
BA000007.3	BA000007.3_74	83456	84061	-	PF00694	Pfam	1.9190277759840782e-42	6.9379167606076585e-46	3	126	0.005710951066136712
BA000007.3	BA000007.3_75	84072	85472	-	PF00330	Pfam	1.942406194082439e-163	7.022437433414458e-167	7	457	0.010362865666517894
BA000007.3	BA000007.3_76	85475	86566	-	PF00180	Pfam	2.2108005266013977e-142	7.9927712458474254e-146	6	355	0.010095653880876776
BA000007.3	BA000007.3_77	86566	88137	-	PF08502	Pfam	2.0142520434763184e-36	7.2821838158941376e-40	369	499	0.004986906455798059
BA000007.3	BA000007.3_78	88974	89918	+	PF00126	Pfam	3.851229882996643e-18	1.3923463062171522e-21	24	81	0.005452867518533571
BA000007.3	BA000007.3_78	88974	89918	+	PF03466	Pfam	6.22491034690453e-17	2.250509886805687e-20	137	309	0.005452867518533571
BA000007.3	BA000007.3_79	90236	91960	+	PF00205	Pfam	1.2954391546161791e-48	4.683438736862542e-52	196	330	0.006352609217098136
BA000007.3	BA000007.3_80	91963	92454	+	PF01842	Pfam	1.9018149723549643e-14	6.875686812563139e-18	4	67	0.000023839408965249303
BA000007.3	BA000007.3_80	91963	92454	+	PF13710	Pfam	7.720095384169811e-16	2.7910684686080297e-19	12	73	0.000023839408965249303
BA000007.3	BA000007.3_80	91963	92454	+	PF10369	Pfam	5.729263481173396e-24	2.071317238312869e-27	84	158	0.000023839408965249303
BA000007.3	BA000007.3_81	92634	93638	+	PF00356	Pfam	8.222976710761302e-20	2.9728766127119675e-23	2	50	0.0020104423152596954
BA000007.3	BA000007.3_81	92634	93638	+	PF00532	Pfam	7.879846234760277e-15	2.8488236568186103e-18	62	312	0.0020104423152596954
BA000007.3	BA000007.3_81	92634	93638	+	PF13407	Pfam	5.34391840684398e-10	1.9320023162848807e-13	64	264	0.0020104423152596954
BA000007.3	BA000007.3_81	92634	93638	+	PF13377	Pfam	7.464445134944474e-10	2.6986424927492677e-13	182	317	0.0020104423152596954
BA000007.3	BA000007.3_82	94240	94698	+	PF02381	Pfam	3.346490968122797e-26	1.2098665828354292e-29	1	75	0.00007557257055112905
BA000007.3	BA000007.3_82	94240	94698	+	PF02381	Pfam	3.46324672341285e-22	1.252077629578037e-25	77	135	0.00007557257055112905
BA000007.3	BA000007.3_83	94700	95641	+	PF01795	Pfam	9.657796700814743e-125	3.4916112439677307e-128	5	310	0.00025116004299219964
BA000007.3	BA000007.3_85	96019	97785	+	PF03717	Pfam	7.9928733557291e-22	2.8896866795839116e-25	70	220	0.004818004743157971
BA000007.3	BA000007.3_85	96019	97785	+	PF00905	Pfam	2.6863861391022776e-85	9.71216970029746e-89	260	554	0.004818004743157971
BA000007.3	BA000007.3_86	97772	99259	+	PF01225	Pfam	6.841614189912024e-11	2.4734686152971888e-14	25	102	0.002408959819575598
BA000007.3	BA000007.3_86	97772	99259	+	PF08245	Pfam	2.7627410118355412e-55	9.98821768559487e-59	114	318	0.002408959819575598
BA000007.3	BA000007.3_86	97772	99259	+	PF02875	Pfam	2.176440993130879e-26	7.868550228238897e-30	339	425	0.002408959819575598
BA000007.3	BA000007.3_87	99256	100614	+	PF01225	Pfam	1.2478617812033747e-8	4.511430879260212e-12	26	79	0.0018553018554993443
BA000007.3	BA000007.3_87	99256	100614	+	PF08245	Pfam	8.721877083090845e-52	3.1532455108788304e-55	106	292	0.0018553018554993443
BA000007.3	BA000007.3_87	99256	100614	+	PF02875	Pfam	2.654927000534006e-16	9.5984345644758e-20	313	394	0.0018553018554993443
BA000007.3	BA000007.3_88	100608	101690	+	PF10555	Pfam	2.5959221994700776e-6	9.385112796348798e-10	68	80	0.00026993387190787634
BA000007.3	BA000007.3_88	100608	101690	+	PF00953	Pfam	4.059046760072914e-33	1.4674789443502943e-36	99	284	0.00026993387190787634
BA000007.3	BA000007.3_89	101693	103009	+	PF08245	Pfam	4.4304539674782844e-29	1.601754868936473e-32	110	280	0.0003609940775419753
BA000007.3	BA000007.3_89	101693	103009	+	PF02875	Pfam	4.5134246424451e-11	1.631751497630188e-14	301	370	0.0003609940775419753
BA000007.3	BA000007.3_90	103009	104253	+	PF01098	Pfam	5.290025441860981e-133	1.9125182363922563e-136	47	402	0.0008331972096599524
BA000007.3	BA000007.3_91	104250	105317	+	PF03033	Pfam	6.819133629501751e-50	2.465341153109816e-53	9	145	0.008864715657488403
BA000007.3	BA000007.3_91	104250	105317	+	PF04101	Pfam	1.510479803084257e-37	5.460881428359569e-41	185	343	0.008864715657488403
BA000007.3	BA000007.3_92	105371	106846	+	PF01225	Pfam	6.297208170039116e-34	2.2766479284306277e-37	21	118	0.0028119604424903665
