sequence_id	detector	detector_version	detector_label	bgc_candidate_id	nucl_start	nucl_end	nucl_length	num_proteins	num_domains	num_bio_domains	deepbgc_score	product_activity	antibacterial	cytotoxic	inhibitor	antifungal	product_class	Alkaloid	NRP	Other	Polyketide	RiPP	Saccharide	Terpene	protein_ids	bio_pfam_ids	pfam_ids
BA000007.3	deepbgc	0.1.0	deepbgc	BA000007.3_1457166-1458105.1	1457166	1458105	939	1	2	0	0.56436	antibacterial	0.87	0.05	0.16	0.25		0.00	0.09	0.11	0.28	0.23	0.04	0.28	BA000007.3_1355		PF02826;PF03446
BA000007.3	deepbgc	0.1.0	deepbgc	BA000007.3_1458920-1472688.1	1458920	1472688	13768	15	19	2	0.58673	antibacterial	0.73	0.05	0.11	0.19		0.00	0.09	0.04	0.27	0.21	0.25	0.16	BA000007.3_1357;BA000007.3_1358;BA000007.3_1359;BA000007.3_1360;BA000007.3_1361;BA000007.3_1362;BA000007.3_1363;BA000007.3_1364;BA000007.3_1365;BA000007.3_1366;BA000007.3_1367;BA000007.3_1368;BA000007.3_1369;BA000007.3_1370;BA000007.3_1371	PF00535;PF01757	PF02613;PF06496;PF03783;PF10614;PF10627;PF00196;PF08281;PF07012;PF07012;PF10610;PF01661;PF13091;PF00614;PF01757;PF03729;PF04349;PF00535;PF13506;PF13632
BA000007.3	deepbgc	0.1.0	deepbgc	BA000007.3_1478588-1480237.1	1478588	1480237	1649	3	6	2	0.57971	antibacterial	0.53	0.15	0.16	0.19		0.03	0.05	0.31	0.16	0.08	0.13	0.39	BA000007.3_1379;BA000007.3_1380;BA000007.3_1381	PF01266;PF01593	PF10968;PF01266;PF13738;PF07992;PF01593;PF13991
BA000007.3	deepbgc	0.1.0	deepbgc	BA000007.3_1507994-1513345.1	1507994	1513345	5351	6	18	9	0.82655	antibacterial	0.66	0.29	0.14	0.16	Polyketide	0.01	0.13	0.04	0.90	0.00	0.06	0.01	BA000007.3_1411;BA000007.3_1412;BA000007.3_1413;BA000007.3_1414;BA000007.3_1415;BA000007.3_1416	PF08545;PF00106;PF00108;PF08541;PF08659;PF02801;PF00698;PF01370;PF00109	PF01154;PF00109;PF00108;PF00195;PF08545;PF08541;PF00698;PF00106;PF01370;PF08659;PF13561;PF13460;PF00550;PF14573;PF00109;PF00108;PF02801;PF01063
BA000007.3	deepbgc	0.1.0	deepbgc	BA000007.3_2018218-2022608.1	2018218	2022608	4390	5	20	2	0.73493		0.44	0.37	0.12	0.02		0.03	0.02	0.30	0.06	0.19	0.01	0.39	BA000007.3_1956;BA000007.3_1957;BA000007.3_1958;BA000007.3_1959;BA000007.3_1960	PF08241;PF08242	PF03595;PF03848;PF05401;PF05724;PF05175;PF13489;PF02353;PF13847;PF08241;PF13649;PF08242;PF11769;PF03594;PF13560;PF13744;PF13443;PF12844;PF01381;PF13413;PF07883
BA000007.3	deepbgc	0.1.0	deepbgc	BA000007.3_2043874-2052056.1	2043874	2052056	8182	6	5	0	0.66723	antibacterial	0.83	0.06	0.17	0.26		0.00	0.11	0.07	0.32	0.20	0.03	0.32	BA000007.3_1982;BA000007.3_1983;BA000007.3_1984;BA000007.3_1985;BA000007.3_1986;BA000007.3_1987		PF05954;PF05593;PF03527;PF13808;PF01609
BA000007.3	deepbgc	0.1.0	deepbgc	BA000007.3_2052655-2054132.1	2052655	2054132	1477	3	2	0	0.52897	antibacterial	0.88	0.07	0.15	0.26		0.02	0.10	0.09	0.32	0.18	0.03	0.31	BA000007.3_1989;BA000007.3_1990;BA000007.3_1991		PF01613;PF00797
BA000007.3	deepbgc	0.1.0	deepbgc	BA000007.3_2131404-2136872.1	2131404	2136872	5468	5	13	2	0.63114		0.42	0.37	0.16	0.05		0.01	0.03	0.25	0.07	0.23	0.00	0.41	BA000007.3_2051;BA000007.3_2052;BA000007.3_2053;BA000007.3_2054;BA000007.3_2055	PF08241;PF08242	PF13489;PF05175;PF01728;PF05401;PF13847;PF13649;PF08241;PF08242;PF01062;PF08125;PF01232;PF00990;PF13811
BA000007.3	deepbgc	0.1.0	deepbgc	BA000007.3_2189931-2191757.1	2189931	2191757	1826	3	5	0	0.53793	antibacterial	0.82	0.07	0.18	0.22		0.00	0.09	0.16	0.30	0.19	0.02	0.28	BA000007.3_2118;BA000007.3_2119;BA000007.3_2120		PF12833;PF00165;PF01978;PF12802;PF06576
BA000007.3	deepbgc	0.1.0	deepbgc	BA000007.3_2205299-2205626.1	2205299	2205626	327	1	1	0	0.51540	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	BA000007.3_2143		PF01527
BA000007.3	deepbgc	0.1.0	deepbgc	BA000007.3_2209068-2209491.1	2209068	2209491	423	1	1	0	0.50197	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	BA000007.3_2148		PF00872
BA000007.3	deepbgc	0.1.0	deepbgc	BA000007.3_2370919-2389332.1	2370919	2389332	18413	16	39	8	0.65407		0.31	0.38	0.15	0.13		0.03	0.15	0.35	0.33	0.01	0.04	0.12	BA000007.3_2321;BA000007.3_2322;BA000007.3_2323;BA000007.3_2324;BA000007.3_2325;BA000007.3_2326;BA000007.3_2327;BA000007.3_2328;BA000007.3_2329;BA000007.3_2330;BA000007.3_2331;BA000007.3_2332;BA000007.3_2333;BA000007.3_2334;BA000007.3_2335;BA000007.3_2336	PF01488;PF00501;PF01266;PF00441;PF01494;PF02770;PF08028;PF02771	PF07690;PF06779;PF07690;PF08501;PF01488;PF01487;PF01144;PF16957;PF02771;PF02770;PF00441;PF08028;PF12833;PF00165;PF02311;PF07883;PF17175;PF01012;PF01012;PF00766;PF01494;PF01946;PF05834;PF03486;PF12831;PF07992;PF00890;PF01134;PF13450;PF01266;PF05187;PF13187;PF00501;PF13193;PF02896;PF00391;PF01326;PF03618;PF00793
BA000007.3	deepbgc	0.1.0	deepbgc	BA000007.3_2554332-2559074.1	2554332	2559074	4742	4	23	4	0.77719		0.28	0.47	0.24	0.08		0.05	0.02	0.37	0.14	0.17	0.00	0.25	BA000007.3_2507;BA000007.3_2508;BA000007.3_2509;BA000007.3_2510	PF08241;PF00891;PF08242;PF00384	PF01124;PF09243;PF01135;PF05175;PF00891;PF06325;PF01728;PF01209;PF02353;PF13489;PF13847;PF13649;PF08241;PF08242;PF08003;PF02353;PF13489;PF13847;PF13649;PF08241;PF08242;PF01568;PF00384
BA000007.3	deepbgc	0.1.0	deepbgc	BA000007.3_2757109-2761771.1	2757109	2761771	4662	4	9	2	0.65914	antibacterial	0.70	0.16	0.19	0.37		0.03	0.10	0.28	0.23	0.14	0.12	0.16	BA000007.3_2733;BA000007.3_2734;BA000007.3_2735;BA000007.3_2736	PF03721;PF01370	PF04143;PF00324;PF13520;PF03466;PF00126;PF01370;PF13460;PF03721;PF03446
BA000007.3	deepbgc	0.1.0	deepbgc	BA000007.3_2764598-2765669.1	2764598	2765669	1071	1	1	1	0.55504	antibacterial	0.58	0.09	0.37	0.17	Other	0.00	0.18	0.50	0.13	0.06	0.01	0.14	BA000007.3_2739	PF00155	PF00155
BA000007.3	deepbgc	0.1.0	deepbgc	BA000007.3_2769522-2811609.1	2769522	2811609	42087	36	107	17	0.94025		0.30	0.25	0.15	0.10	Saccharide	0.00	0.00	0.01	0.01	0.00	0.99	0.00	BA000007.3_2745;BA000007.3_2746;BA000007.3_2747;BA000007.3_2748;BA000007.3_2749;BA000007.3_2750;BA000007.3_2751;BA000007.3_2752;BA000007.3_2753;BA000007.3_2754;BA000007.3_2755;BA000007.3_2756;BA000007.3_2757;BA000007.3_2758;BA000007.3_2759;BA000007.3_2760;BA000007.3_2761;BA000007.3_2762;BA000007.3_2763;BA000007.3_2764;BA000007.3_2765;BA000007.3_2766;BA000007.3_2767;BA000007.3_2768;BA000007.3_2769;BA000007.3_2770;BA000007.3_2771;BA000007.3_2772;BA000007.3_2773;BA000007.3_2774;BA000007.3_2775;BA000007.3_2776;BA000007.3_2777;BA000007.3_2778;BA000007.3_2779;BA000007.3_2780	PF01488;PF01050;PF07993;PF00483;PF04321;PF03720;PF02397;PF03721;PF01041;PF00535;PF02706;PF00155;PF01943;PF00984;PF00534;PF01370;PF02719	PF13807;PF02706;PF03720;PF00984;PF03721;PF00393;PF03446;PF03807;PF02558;PF01488;PF14602;PF00132;PF00408;PF02880;PF02879;PF02878;PF01050;PF07883;PF00483;PF12804;PF01128;PF00293;PF16363;PF01370;PF13460;PF04321;PF16363;PF01370;PF04321;PF02719;PF00534;PF13692;PF01041;PF00266;PF01053;PF00155;PF01554;PF01943;PF10111;PF00535;PF01901;PF13641;PF00535;PF10111;PF00483;PF12804;PF05368;PF16363;PF01370;PF01073;PF04321;PF07993;PF13460;PF02719;PF13524;PF00534;PF13692;PF13439;PF13579;PF04230;PF14667;PF13440;PF01943;PF02397;PF13727;PF00408;PF02880;PF02879;PF02878;PF01050;PF07883;PF00483;PF12804;PF00534;PF13692;PF13579;PF13439;PF00293;PF14815;PF16363;PF01370;PF04321;PF16363;PF01370;PF04321;PF02719;PF00132;PF13641;PF10111;PF00535;PF13692;PF00534;PF13439;PF00132;PF14602;PF00535;PF13641;PF10111;PF01656;PF10609;PF13614;PF06564;PF00142;PF00448;PF13807;PF02706;PF01451
BA000007.3	deepbgc	0.1.0	deepbgc	BA000007.3_2926357-2926979.1	2926357	2926979	622	2	7	0	0.53540	antibacterial	0.85	0.06	0.15	0.32		0.00	0.10	0.11	0.29	0.22	0.04	0.29	BA000007.3_2886;BA000007.3_2887		PF06530;PF06322;PF12728;PF02796;PF07453;PF13384;PF13936
BA000007.3	deepbgc	0.1.0	deepbgc	BA000007.3_2927573-2927783.1	2927573	2927783	210	1	1	0	0.54317	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	BA000007.3_2889		PF05810
BA000007.3	deepbgc	0.1.0	deepbgc	BA000007.3_2928843-2936743.1	2928843	2936743	7900	16	16	0	0.65200	antibacterial	0.81	0.07	0.15	0.27		0.00	0.06	0.10	0.26	0.32	0.03	0.27	BA000007.3_2892;BA000007.3_2893;BA000007.3_2894;BA000007.3_2895;BA000007.3_2896;BA000007.3_2897;BA000007.3_2898;BA000007.3_2899;BA000007.3_2900;BA000007.3_2901;BA000007.3_2902;BA000007.3_2903;BA000007.3_2904;BA000007.3_2905;BA000007.3_2906;BA000007.3_2907		PF05772;PF14354;PF06992;PF04492;PF05269;PF13121;PF01381;PF13560;PF12844;PF13560;PF12844;PF01381;PF00717;PF14163;PF10800;PF02061
BA000007.3	deepbgc	0.1.0	deepbgc	BA000007.3_3086410-3105651.1	3086410	3105651	19241	21	46	5	0.74651	antibacterial	0.65	0.34	0.25	0.24		0.01	0.28	0.19	0.08	0.05	0.40	0.01	BA000007.3_3043;BA000007.3_3044;BA000007.3_3045;BA000007.3_3046;BA000007.3_3047;BA000007.3_3048;BA000007.3_3049;BA000007.3_3050;BA000007.3_3051;BA000007.3_3052;BA000007.3_3053;BA000007.3_3054;BA000007.3_3055;BA000007.3_3056;BA000007.3_3057;BA000007.3_3058;BA000007.3_3059;BA000007.3_3060;BA000007.3_3061;BA000007.3_3062;BA000007.3_3063	PF01041;PF00535;PF00155;PF01370;PF00501	PF04754;PF03328;PF07690;PF01527;PF13276;PF00665;PF13610;PF13683;PF13333;PF07690;PF13378;PF02746;PF01614;PF09339;PF00994;PF07437;PF13609;PF04453;PF00293;PF14815;PF16262;PF00300;PF01041;PF01053;PF01212;PF00155;PF00266;PF13641;PF00535;PF10111;PF13704;PF00551;PF02911;PF01370;PF16363;PF01073;PF13460;PF01522;PF02366;PF13231;PF00893;PF00892;PF10639;PF11183;PF13193;PF00501
BA000007.3	deepbgc	0.1.0	deepbgc	BA000007.3_3107481-3108240.1	3107481	3108240	759	1	4	1	0.51539	antibacterial	0.70	0.05	0.11	0.35	NRP	0.00	0.54	0.10	0.21	0.07	0.02	0.07	BA000007.3_3066	PF00561	PF12697;PF12146;PF00561;PF01764
BA000007.3	deepbgc	0.1.0	deepbgc	BA000007.3_3511298-3513564.1	3511298	3513564	2266	2	4	3	0.66532	antibacterial	0.70	0.08	0.24	0.23		0.03	0.06	0.22	0.24	0.08	0.08	0.39	BA000007.3_3437;BA000007.3_3438	PF02668;PF01266;PF01593	PF08943;PF02668;PF01266;PF01593
BA000007.3	deepbgc	0.1.0	deepbgc	BA000007.3_3601256-3622113.1	3601256	3622113	20857	20	43	4	0.78353		0.27	0.42	0.19	0.09		0.03	0.06	0.22	0.42	0.02	0.05	0.25	BA000007.3_3533;BA000007.3_3534;BA000007.3_3535;BA000007.3_3536;BA000007.3_3537;BA000007.3_3538;BA000007.3_3539;BA000007.3_3540;BA000007.3_3541;BA000007.3_3542;BA000007.3_3543;BA000007.3_3544;BA000007.3_3545;BA000007.3_3546;BA000007.3_3547;BA000007.3_3548;BA000007.3_3549;BA000007.3_3550;BA000007.3_3551;BA000007.3_3552	PF00106;PF01494;PF01266;PF08659	PF09344;PF09485;PF09481;PF00270;PF01848;PF01507;PF03460;PF01077;PF00175;PF00667;PF00258;PF01242;PF01494;PF01946;PF07992;PF05834;PF01134;PF12831;PF01266;PF03486;PF00890;PF13738;PF13450;PF13187;PF04309;PF05277;PF00766;PF01012;PF01012;PF07690;PF00083;PF01306;PF13347;PF02913;PF01565;PF13561;PF00106;PF08659;PF07690;PF01306;PF03825;PF12832;PF13347
BA000007.3	deepbgc	0.1.0	deepbgc	BA000007.3_3705024-3722605.1	3705024	3722605	17581	24	33	5	0.69950		0.49	0.19	0.27	0.25		0.00	0.22	0.24	0.40	0.12	0.01	0.09	BA000007.3_3621;BA000007.3_3622;BA000007.3_3623;BA000007.3_3624;BA000007.3_3625;BA000007.3_3626;BA000007.3_3627;BA000007.3_3628;BA000007.3_3629;BA000007.3_3630;BA000007.3_3631;BA000007.3_3632;BA000007.3_3633;BA000007.3_3634;BA000007.3_3635;BA000007.3_3636;BA000007.3_3637;BA000007.3_3638;BA000007.3_3639;BA000007.3_3640;BA000007.3_3641;BA000007.3_3642;BA000007.3_3643;BA000007.3_3644	PF00106;PF00108;PF08659;PF02803;PF00109	PF13561;PF00106;PF08659;PF04962;PF02803;PF00108;PF00109;PF01490;PF03845;PF03222;PF00196;PF06056;PF00486;PF07720;PF00486;PF07719;PF01464;PF00196;PF08281;PF04545;PF14493;PF13551;PF13936;PF13384;PF00072;PF09482;PF01514;PF05591;PF17001;PF09392;PF17001;PF09480;PF00196
BA000007.3	deepbgc	0.1.0	deepbgc	BA000007.3_4329329-4353312.1	4329329	4353312	23983	27	49	12	0.88305		0.26	0.22	0.10	0.05	Other	0.00	0.17	0.53	0.33	0.03	0.05	0.03	BA000007.3_4236;BA000007.3_4237;BA000007.3_4238;BA000007.3_4239;BA000007.3_4240;BA000007.3_4241;BA000007.3_4242;BA000007.3_4243;BA000007.3_4244;BA000007.3_4245;BA000007.3_4246;BA000007.3_4247;BA000007.3_4248;BA000007.3_4249;BA000007.3_4250;BA000007.3_4251;BA000007.3_4252;BA000007.3_4253;BA000007.3_4254;BA000007.3_4255;BA000007.3_4256;BA000007.3_4257;BA000007.3_4258;BA000007.3_4259;BA000007.3_4260;BA000007.3_4261;BA000007.3_4262	PF08545;PF08242;PF00106;PF01553;PF00108;PF03061;PF00535;PF08659;PF02801;PF00891;PF00109;PF00501	PF08786;PF07305;PF12832;PF07690;PF01594;PF13489;PF00891;PF13847;PF08242;PF13649;PF13723;PF01553;PF00550;PF00550;PF04279;PF00501;PF07977;PF14765;PF00535;PF13641;PF13279;PF03061;PF01643;PF03548;PF03176;PF11659;PF00109;PF00108;PF08545;PF02801;PF07977;PF00106;PF08659;PF13561;PF00109;PF00108;PF02801;PF01648;PF00496;PF00528;PF12911;PF00528;PF00005;PF03193;PF13191;PF00005;PF02463;PF13401;PF13304
BA000007.3	deepbgc	0.1.0	deepbgc	BA000007.3_4536022-4554288.1	4536022	4554288	18266	17	43	13	0.90134		0.29	0.16	0.40	0.07	Saccharide	0.03	0.06	0.05	0.10	0.00	0.79	0.00	BA000007.3_4415;BA000007.3_4416;BA000007.3_4417;BA000007.3_4418;BA000007.3_4419;BA000007.3_4420;BA000007.3_4421;BA000007.3_4422;BA000007.3_4423;BA000007.3_4424;BA000007.3_4425;BA000007.3_4426;BA000007.3_4427;BA000007.3_4428;BA000007.3_4429;BA000007.3_4430;BA000007.3_4431	PF08437;PF07993;PF04321;PF01075;PF08240;PF04932;PF01501;PF01041;PF00535;PF00155;PF00107;PF00534;PF01370	PF00535;PF13641;PF10111;PF13704;PF13602;PF00107;PF16912;PF01262;PF08240;PF00155;PF00464;PF01041;PF00266;PF09612;PF01370;PF04321;PF16363;PF01073;PF07993;PF01075;PF01075;PF13425;PF04932;PF13524;PF00534;PF13692;PF13439;PF08437;PF01501;PF06176;PF08437;PF01501;PF06293;PF00534;PF13524;PF13692;PF13439;PF13579;PF01075;PF04413;PF00534;PF01467;PF08218
BA000007.3	deepbgc	0.1.0	deepbgc	BA000007.3_4761447-4777951.1	4761447	4777951	16504	14	36	16	0.82286	antibacterial	0.55	0.22	0.25	0.15	Saccharide	0.03	0.07	0.17	0.09	0.01	0.68	0.00	BA000007.3_4627;BA000007.3_4628;BA000007.3_4629;BA000007.3_4630;BA000007.3_4631;BA000007.3_4632;BA000007.3_4633;BA000007.3_4634;BA000007.3_4635;BA000007.3_4636;BA000007.3_4637;BA000007.3_4638;BA000007.3_4639;BA000007.3_4640	PF00953;PF07993;PF00483;PF00583;PF02350;PF04321;PF03720;PF04055;PF03721;PF01041;PF02706;PF00155;PF01943;PF00984;PF01370;PF02719	PF00953;PF02706;PF02350;PF03721;PF03446;PF00984;PF03720;PF04321;PF01370;PF02719;PF16363;PF01073;PF03435;PF07993;PF00483;PF12804;PF01128;PF13302;PF00583;PF01041;PF01276;PF01053;PF00155;PF00266;PF01943;PF13440;PF07429;PF06899;PF10101;PF03808;PF00324;PF13520;PF13353;PF04055;PF06935;PF13186
BA000007.3	deepbgc	0.1.0	deepbgc	BA000007.3_4815290-4816665.1	4815290	4816665	1375	2	11	2	0.60872		0.42	0.40	0.21	0.03	Other	0.01	0.03	0.50	0.03	0.15	0.01	0.27	BA000007.3_4674;BA000007.3_4675	PF08241;PF08242	PF01209;PF00398;PF01135;PF13489;PF05175;PF13847;PF13649;PF08241;PF08242;PF01170;PF02036
AB011549.2	deepbgc	0.1.0	deepbgc	AB011549.2_0-2502.1	0	2502	2502	1	1	0	0.56102	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	AB011549.2_1		PF10462
AB011549.2	deepbgc	0.1.0	deepbgc	AB011549.2_16094-25056.1	16094	25056	8962	7	21	0	0.70029	antibacterial	0.72	0.16	0.13	0.19	RiPP	0.02	0.05	0.16	0.03	0.72	0.02	0.01	AB011549.2_17;AB011549.2_18;AB011549.2_19;AB011549.2_20;AB011549.2_21;AB011549.2_22;AB011549.2_23		PF02794;PF02382;PF00353;PF08339;PF03412;PF00664;PF00005;PF02463;PF00529;PF16576;PF13437;PF13601;PF01047;PF12802;PF09339;PF02082;PF08279;PF13412;PF01978;PF13463;PF00589
AB011549.2	deepbgc	0.1.0	deepbgc	AB011549.2_44315-49896.1	44315	49896	5581	6	9	1	0.56723	antibacterial	0.65	0.22	0.17	0.15		0.05	0.02	0.20	0.18	0.40	0.03	0.15	AB011549.2_48;AB011549.2_49;AB011549.2_50;AB011549.2_51;AB011549.2_52;AB011549.2_53	PF08242	PF12083;PF00398;PF05175;PF13649;PF08242;PF00436;PF06006;PF02195;PF13384
AB011549.2	deepbgc	0.1.0	deepbgc	AB011549.2_50381-69414.1	50381	69414	19033	12	27	1	0.64343	antibacterial	0.53	0.16	0.14	0.33		0.00	0.37	0.15	0.15	0.23	0.01	0.09	AB011549.2_55;AB011549.2_56;AB011549.2_57;AB011549.2_58;AB011549.2_59;AB011549.2_60;AB011549.2_61;AB011549.2_62;AB011549.2_63;AB011549.2_64;AB011549.2_65;AB011549.2_66	PF00561	PF06952;PF17496;PF03432;PF06519;PF00665;PF13936;PF02796;PF13384;PF13551;PF01695;PF12918;PF12919;PF04488;PF11996;PF01695;PF01527;PF07057;PF05857;PF01738;PF00561;PF12146;PF12697;PF02129;PF00326;PF07859;PF05448;PF08840
AB011549.2	deepbgc	0.1.0	deepbgc	AB011549.2_86837-87659.1	86837	87659	822	1	1	0	0.52681	antibacterial	0.87	0.06	0.17	0.27		0.00	0.09	0.07	0.33	0.21	0.03	0.32	AB011549.2_83		PF01522
