sequence_id	detector	detector_version	detector_label	bgc_candidate_id	nucl_start	nucl_end	nucl_length	num_proteins	num_domains	num_bio_domains	deepbgc_score	product_activity	antibacterial	cytotoxic	inhibitor	antifungal	product_class	Alkaloid	NRP	Other	Polyketide	RiPP	Saccharide	Terpene	protein_ids	bio_pfam_ids	pfam_ids
NC_000913.3	deepbgc	0.1.0	deepbgc	NC_000913.3_1148758-1154109.1	1148758	1154109	5351	6	18	9	0.82446	antibacterial	0.66	0.29	0.14	0.16	Polyketide	0.01	0.13	0.04	0.90	0.00	0.06	0.01	NC_000913.3_1059;NC_000913.3_1060;NC_000913.3_1061;NC_000913.3_1062;NC_000913.3_1063;NC_000913.3_1064	PF00109;PF08545;PF02801;PF08541;PF00106;PF00698;PF00108;PF01370;PF08659	PF01154;PF00109;PF00108;PF00195;PF08545;PF08541;PF00698;PF00106;PF01370;PF08659;PF13561;PF13460;PF00550;PF14573;PF00109;PF00108;PF02801;PF01063
NC_000913.3	deepbgc	0.1.0	deepbgc	NC_000913.3_1501561-1503649.1	1501561	1503649	2088	3	12	2	0.69565		0.38	0.42	0.14	0.06		0.03	0.02	0.31	0.05	0.22	0.00	0.37	NC_000913.3_1403;NC_000913.3_1404;NC_000913.3_1405	PF08241;PF08242	PF03848;PF05401;PF05724;PF05175;PF02353;PF13489;PF13847;PF08241;PF13649;PF08242;PF11769;PF01797
NC_000913.3	deepbgc	0.1.0	deepbgc	NC_000913.3_1607345-1612325.1	1607345	1612325	4980	5	14	3	0.79484		0.40	0.38	0.14	0.16		0.02	0.02	0.20	0.27	0.20	0.00	0.29	NC_000913.3_1492;NC_000913.3_1493;NC_000913.3_1494;NC_000913.3_1495;NC_000913.3_1496	PF08241;PF00891;PF08242	PF13489;PF05175;PF00891;PF01728;PF05401;PF13847;PF13649;PF08241;PF08242;PF01062;PF08125;PF01232;PF00990;PF13811
NC_000913.3	deepbgc	0.1.0	deepbgc	NC_000913.3_1629214-1632285.1	1629214	1632285	3071	3	6	0	0.59970	antibacterial-antifungal	0.70	0.06	0.17	0.51	Polyketide	0.00	0.01	0.23	0.73	0.02	0.01	0.01	NC_000913.3_1515;NC_000913.3_1516;NC_000913.3_1517		PF14001;PF08125;PF01232;PF13347;PF07690;PF00083
NC_000913.3	deepbgc	0.1.0	deepbgc	NC_000913.3_1772511-1773777.1	1772511	1773777	1266	1	2	0	0.50288	antibacterial	0.78	0.04	0.16	0.44	Polyketide	0.02	0.00	0.10	0.82	0.01	0.01	0.04	NC_000913.3_1666		PF07690;PF12832
NC_000913.3	deepbgc	0.1.0	deepbgc	NC_000913.3_1774685-1788278.1	1774685	1788278	13593	12	34	7	0.63025		0.29	0.42	0.17	0.04		0.02	0.08	0.40	0.31	0.01	0.08	0.17	NC_000913.3_1668;NC_000913.3_1669;NC_000913.3_1670;NC_000913.3_1671;NC_000913.3_1672;NC_000913.3_1673;NC_000913.3_1674;NC_000913.3_1675;NC_000913.3_1676;NC_000913.3_1677;NC_000913.3_1678;NC_000913.3_1679	PF01494;PF02771;PF01266;PF00501;PF08028;PF00441;PF02770	PF01487;PF01144;PF16957;PF02771;PF02770;PF00441;PF08028;PF12833;PF00165;PF02311;PF07883;PF17175;PF01012;PF01012;PF00766;PF01494;PF01946;PF05834;PF03486;PF12831;PF07992;PF00890;PF01134;PF00070;PF13450;PF01266;PF05187;PF13187;PF00501;PF13193;PF02896;PF00391;PF01326;PF03618
NC_000913.3	deepbgc	0.1.0	deepbgc	NC_000913.3_1952265-1957007.1	1952265	1957007	4742	4	23	4	0.77727		0.28	0.47	0.24	0.08		0.05	0.02	0.37	0.14	0.17	0.00	0.25	NC_000913.3_1846;NC_000913.3_1847;NC_000913.3_1848;NC_000913.3_1849	PF08241;PF00384;PF00891;PF08242	PF01124;PF09243;PF01135;PF05175;PF00891;PF06325;PF01728;PF01209;PF02353;PF13489;PF13847;PF13649;PF08241;PF08242;PF08003;PF02353;PF13489;PF13847;PF13649;PF08241;PF08242;PF01568;PF00384
NC_000913.3	deepbgc	0.1.0	deepbgc	NC_000913.3_2101395-2136098.1	2101395	2136098	34703	33	96	15	0.93462		0.38	0.39	0.21	0.10	Saccharide	0.01	0.01	0.04	0.04	0.00	0.93	0.00	NC_000913.3_1994;NC_000913.3_1995;NC_000913.3_1996;NC_000913.3_1997;NC_000913.3_1998;NC_000913.3_1999;NC_000913.3_2000;NC_000913.3_2001;NC_000913.3_2002;NC_000913.3_2003;NC_000913.3_2004;NC_000913.3_2005;NC_000913.3_2006;NC_000913.3_2007;NC_000913.3_2008;NC_000913.3_2009;NC_000913.3_2010;NC_000913.3_2011;NC_000913.3_2012;NC_000913.3_2013;NC_000913.3_2014;NC_000913.3_2015;NC_000913.3_2016;NC_000913.3_2017;NC_000913.3_2018;NC_000913.3_2019;NC_000913.3_2020;NC_000913.3_2021;NC_000913.3_2022;NC_000913.3_2023;NC_000913.3_2024;NC_000913.3_2025;NC_000913.3_2026	PF00535;PF00908;PF02397;PF01266;PF00483;PF02706;PF07993;PF00534;PF01943;PF02719;PF01050;PF01370;PF01593;PF08659;PF04321	PF13641;PF13632;PF02709;PF13751;PF01609;PF13359;PF13612;PF05598;PF00535;PF00534;PF13692;PF16286;PF00132;PF14602;PF03275;PF12831;PF01593;PF13450;PF00070;PF07992;PF00890;PF01266;PF03486;PF14667;PF14351;PF13440;PF01943;PF00908;PF00483;PF12804;PF01128;PF04321;PF01370;PF07993;PF02719;PF16363;PF04321;PF16363;PF01370;PF01073;PF07993;PF02719;PF08659;PF00483;PF12804;PF13524;PF00534;PF13692;PF13439;PF13579;PF04230;PF14667;PF13440;PF01943;PF02397;PF13727;PF00408;PF02880;PF02879;PF02878;PF01050;PF07883;PF00483;PF12804;PF00534;PF13692;PF13579;PF13439;PF00293;PF16363;PF01370;PF04321;PF16363;PF01370;PF04321;PF02719;PF00132;PF10111;PF00535;PF13692;PF00534;PF13439;PF00132;PF14602;PF00535;PF13641;PF10111;PF01656;PF10609;PF13614;PF06564;PF00142;PF00448;PF13807;PF02706;PF01451
NC_000913.3	deepbgc	0.1.0	deepbgc	NC_000913.3_2356903-2375003.1	2356903	2375003	18100	19	40	5	0.73297	antibacterial	0.66	0.32	0.22	0.23		0.01	0.27	0.18	0.08	0.05	0.42	0.01	NC_000913.3_2210;NC_000913.3_2211;NC_000913.3_2212;NC_000913.3_2213;NC_000913.3_2214;NC_000913.3_2215;NC_000913.3_2216;NC_000913.3_2217;NC_000913.3_2218;NC_000913.3_2219;NC_000913.3_2220;NC_000913.3_2221;NC_000913.3_2222;NC_000913.3_2223;NC_000913.3_2224;NC_000913.3_2225;NC_000913.3_2226;NC_000913.3_2227;NC_000913.3_2228	PF00155;PF00535;PF01041;PF00501;PF01370	PF04754;PF03328;PF07690;PF13347;PF13378;PF02746;PF01614;PF09339;PF00994;PF07437;PF13609;PF04453;PF00293;PF14815;PF16262;PF00300;PF01041;PF01053;PF01212;PF00155;PF00266;PF13641;PF00535;PF10111;PF13704;PF00551;PF02911;PF01370;PF16363;PF01073;PF13460;PF01522;PF02366;PF13231;PF00893;PF00892;PF10639;PF11183;PF13193;PF00501
NC_000913.3	deepbgc	0.1.0	deepbgc	NC_000913.3_2376833-2377592.1	2376833	2377592	759	1	5	2	0.51866	antibacterial	0.56	0.07	0.06	0.45		0.00	0.40	0.14	0.40	0.02	0.02	0.03	NC_000913.3_2231	PF00561;PF00975	PF12697;PF12146;PF00561;PF00975;PF01764
NC_000913.3	deepbgc	0.1.0	deepbgc	NC_000913.3_2784528-2792721.1	2784528	2792721	8193	7	9	5	0.68255	antibacterial	0.69	0.08	0.23	0.25		0.03	0.08	0.23	0.22	0.08	0.07	0.38	NC_000913.3_2609;NC_000913.3_2610;NC_000913.3_2611;NC_000913.3_2612;NC_000913.3_2613;NC_000913.3_2614;NC_000913.3_2615	PF01266;PF00128;PF00171;PF01593;PF02668	PF17612;PF00128;PF00128;PF08943;PF02668;PF06039;PF01266;PF01593;PF00171
NC_000913.3	deepbgc	0.1.0	deepbgc	NC_000913.3_2895775-2897942.1	2895775	2897942	2167	2	5	0	0.51320	antibacterial-antifungal	0.76	0.03	0.18	0.58	Polyketide	0.02	0.01	0.04	0.90	0.03	0.00	0.01	NC_000913.3_2721;NC_000913.3_2722		PF01012;PF00083;PF07690;PF01306;PF05977
NC_000913.3	deepbgc	0.1.0	deepbgc	NC_000913.3_3612968-3633223.1	3612968	3633223	20255	16	37	0	0.70410		0.48	0.13	0.16	0.18	RiPP	0.00	0.09	0.30	0.03	0.59	0.00	0.00	NC_000913.3_3403;NC_000913.3_3404;NC_000913.3_3405;NC_000913.3_3406;NC_000913.3_3407;NC_000913.3_3408;NC_000913.3_3409;NC_000913.3_3410;NC_000913.3_3411;NC_000913.3_3412;NC_000913.3_3413;NC_000913.3_3414;NC_000913.3_3415;NC_000913.3_3416;NC_000913.3_3417;NC_000913.3_3418		PF01648;PF00496;PF00528;PF12911;PF00528;PF00005;PF03193;PF13191;PF00005;PF02463;PF13401;PF13304;PF01402;PF08753;PF05593;PF03527;PF14220;PF15631;PF13808;PF01609;PF12679;PF12698;PF01061;PF12730;PF12679;PF12698;PF01061;PF12730;PF13304;PF00005;PF00529;PF13437;PF16576;PF13533;PF00364;PF13258;PF13258
NC_000913.3	deepbgc	0.1.0	deepbgc	NC_000913.3_3654682-3660389.1	3654682	3660389	5707	8	11	0	0.59384	antibacterial	0.75	0.07	0.08	0.24		0.02	0.08	0.11	0.26	0.30	0.03	0.26	NC_000913.3_3437;NC_000913.3_3438;NC_000913.3_3439;NC_000913.3_3440;NC_000913.3_3441;NC_000913.3_3442;NC_000913.3_3443;NC_000913.3_3444		PF00196;PF02308;PF06411;PF06411;PF03729;PF04247;PF00196;PF00529;PF16576;PF13533;PF13437
NC_000913.3	deepbgc	0.1.0	deepbgc	NC_000913.3_3789046-3810304.1	3789046	3810304	21258	20	47	13	0.90729		0.29	0.16	0.40	0.07	Saccharide	0.03	0.06	0.05	0.10	0.00	0.79	0.00	NC_000913.3_3551;NC_000913.3_3552;NC_000913.3_3553;NC_000913.3_3554;NC_000913.3_3555;NC_000913.3_3556;NC_000913.3_3557;NC_000913.3_3558;NC_000913.3_3559;NC_000913.3_3560;NC_000913.3_3561;NC_000913.3_3562;NC_000913.3_3563;NC_000913.3_3564;NC_000913.3_3565;NC_000913.3_3566;NC_000913.3_3567;NC_000913.3_3568;NC_000913.3_3569;NC_000913.3_3570	PF00535;PF00155;PF01041;PF04932;PF01501;PF01075;PF00107;PF00534;PF08437;PF08240;PF01370;PF07993;PF04321	PF00535;PF13641;PF10111;PF13704;PF13602;PF00107;PF16912;PF01262;PF08240;PF00155;PF00464;PF01041;PF00266;PF09612;PF01370;PF04321;PF16363;PF01073;PF07993;PF01075;PF01075;PF04932;PF16982;PF01075;PF01973;PF06176;PF01163;PF08437;PF01501;PF08437;PF01501;PF00534;PF13692;PF13439;PF13579;PF06925;PF06293;PF00534;PF13524;PF13692;PF13439;PF13579;PF01075;PF04413;PF00534;PF01467;PF08218
NC_000913.3	deepbgc	0.1.0	deepbgc	NC_000913.3_3967915-3984193.1	3967915	3984193	16278	14	36	16	0.82340	antibacterial	0.55	0.22	0.25	0.15	Saccharide	0.03	0.07	0.17	0.09	0.01	0.68	0.00	NC_000913.3_3712;NC_000913.3_3713;NC_000913.3_3714;NC_000913.3_3715;NC_000913.3_3716;NC_000913.3_3717;NC_000913.3_3718;NC_000913.3_3719;NC_000913.3_3720;NC_000913.3_3721;NC_000913.3_3722;NC_000913.3_3723;NC_000913.3_3724;NC_000913.3_3725	PF00953;PF00583;PF00155;PF02706;PF01041;PF00483;PF03721;PF00984;PF01943;PF02350;PF02719;PF04055;PF03720;PF01370;PF07993;PF04321	PF00953;PF02706;PF02350;PF03721;PF03446;PF00984;PF03720;PF04321;PF01370;PF02719;PF16363;PF01073;PF03435;PF07993;PF00483;PF12804;PF01128;PF13302;PF00583;PF01041;PF01276;PF01053;PF00155;PF00266;PF01943;PF13440;PF07429;PF06899;PF10101;PF03808;PF00324;PF13520;PF13353;PF04055;PF06935;PF13186
NC_000913.3	deepbgc	0.1.0	deepbgc	NC_000913.3_4018854-4020229.1	4018854	4020229	1375	2	11	2	0.61480		0.42	0.40	0.21	0.03	Other	0.01	0.03	0.50	0.03	0.15	0.01	0.27	NC_000913.3_3757;NC_000913.3_3758	PF08241;PF08242	PF01209;PF00398;PF01135;PF13489;PF05175;PF13847;PF13649;PF08241;PF08242;PF01170;PF02036
